ID,Grupo,UM,ES,LV
1,1,37,19,6
2,1,34,13,4
3,1,37,10,7
4,1,34,23,9
5,1,22,6,8
6,1,24,7,7
7,1,31,13,9
8,1,26,9,9
9,1,33,14,9
10,1,18,7,6
11,1,16,8,9
12,1,15,12,3
13,1,25,18,6
14,1,23,11,4
15,1,26,6,9
16,1,18,0,2
17,1,21,18,6
18,1,0,4,3
19,1,14,7,2
20,1,10,13,7
21,1,13,18,9
22,1,24,15,3
23,1,34,16,6
24,1,37,19,9
25,1,28,6,9
26,1,32,9,8
27,1,12,10,4
28,1,30,13,6
29,1,9,7,1
30,1,32,24,9
31,1,5,3,4
32,1,15,5,3
33,1,29,18,4
34,1,28,21,9
35,1,27,15,7
36,1,42,23,9
37,1,16,0,3
38,1,26,0,9
39,1,20,2,5
40,1,1,1,1
41,1,16,13,3
42,1,19,13,6
43,1,34,23,9
44,1,26,21,7
45,1,19,16,9
46,1,32,18,8
47,1,9,16,9
48,1,8,4,5
49,1,42,22,9
50,1,41,21,8
51,1,24,9,8
52,1,37,19,9
53,1,16,12,8
54,1,35,16,6
55,1,35,15,7
56,1,34,21,9
57,1,34,23,7
58,1,35,10,5
59,1,24,7,6
60,1,29,16,9
61,1,17,3,9
62,1,11,12,6
63,1,21,10,9
64,1,11,3,4
65,1,18,14,2
66,1,5,10,9
67,1,17,20,7
68,1,7,7,3
69,1,24,9,7
70,1,8,17,6
71,1,25,1,9
72,1,17,18,8
73,1,26,18,8
74,1,29,10,6
75,1,26,15,9
76,1,10,17,9
77,1,18,7,3
78,1,22,13,4
79,1,15,12,7
80,1,27,11,9
81,1,18,9,8
82,1,8,14,6
83,1,7,4,5
84,1,28,13,9
85,1,17,8,3
86,1,4,4,3
87,1,2,1,3
88,1,28,21,6
89,1,14,10,2
90,1,6,1,2
91,1,35,16,9
92,1,23,3,8
93,1,29,20,9
94,1,23,12,6
95,1,11,13,8
96,1,26,5,8
97,1,3,5,2
98,1,18,12,5
99,1,3,5,7
100,1,35,15,9
101,1,13,5,3
102,1,26,13,6
103,1,17,9,4
104,1,28,10,5
105,1,19,13,6
106,1,32,13,9
107,1,35,18,6
108,1,39,18,9
109,1,28,20,3
110,1,18,9,8
111,1,11,21,9
112,1,32,20,9
113,1,0,0,0
114,1,0,10,8
115,1,23,9,7
116,1,37,22,9
117,1,17,10,3
118,1,16,4,5
119,1,24,16,8
120,1,15,10,7
121,1,24,16,7
122,1,26,3,5
123,1,26,16,6
124,1,21,15,6
125,1,28,23,9
126,1,15,17,9
