ID,Grupo,UM,ES,LV
1,2,27,0,3
2,1,37,19,6
3,2,2,2,6
4,3,24,15,3
5,1,34,13,4
6,1,37,10,7
7,1,34,23,9
8,3,7,9,7
9,3,10,0,0
10,3,6,7,6
11,2,30,16,9
12,3,24,21,8
13,1,22,6,8
14,1,24,7,7
15,2,12,14,4
16,1,31,13,9
17,2,2,3,3
18,3,3,4,0
19,1,26,9,9
20,1,33,14,9
21,1,18,7,6
22,1,16,8,9
23,2,13,9,7
24,1,15,12,3
25,1,25,18,6
26,1,23,11,4
27,1,26,6,9
28,1,18,0,2
29,1,21,18,6
30,1,0,4,3
31,1,14,7,2
32,2,14,13,0
33,1,10,13,7
34,1,13,18,9
35,3,41,16,9
36,1,24,15,3
37,2,1,6,3
38,2,15,16,7
39,2,6,2,0
40,1,34,16,6
41,1,37,19,9
42,2,2,4,0
43,1,28,6,9
44,2,21,15,8
45,3,13,3,3
46,1,32,9,8
47,2,25,2,9
48,3,0,0,0
49,2,27,13,4
50,1,12,10,4
51,2,11,11,7
52,1,30,13,6
53,2,32,19,5
54,1,9,7,1
55,1,32,24,9
56,2,31,18,5
57,3,26,16,3
58,3,0,2,1
59,1,5,3,4
60,1,15,5,3
61,1,29,18,4
62,1,28,21,9
63,2,16,14,9
64,3,15,5,8
65,1,27,15,7
66,2,21,12,5
67,1,42,23,9
68,2,21,12,9
69,1,16,0,3
70,1,26,0,9
71,1,20,2,5
72,1,1,1,1
73,3,15,23,9
74,1,16,13,3
75,2,6,6,4
76,1,19,13,6
77,1,34,23,9
78,1,26,21,7
79,2,28,22,7
80,2,36,21,9
81,1,19,16,9
82,1,32,18,8
83,2,3,5,4
84,1,9,16,9
85,2,0,6,7
86,1,8,4,5
87,1,42,22,9
88,1,41,21,8
89,2,16,10,2
90,2,7,12,4
91,2,36,11,7
92,3,18,10,9
93,1,24,9,8
94,1,37,19,9
95,2,3,2,0
96,1,16,12,8
97,2,14,5,7
98,1,35,16,6
99,1,35,15,7
100,1,34,21,9
101,1,34,23,7
102,2,31,7,9
103,1,35,10,5
104,1,24,7,6
105,1,29,16,9
106,1,17,3,9
107,1,11,12,6
108,2,39,23,9
109,1,21,10,9
110,1,11,3,4
111,2,33,17,9
112,2,0,0,0
113,2,31,14,7
114,1,18,14,2
115,3,41,12,9
116,1,5,10,9
117,3,30,12,6
118,2,3,9,6
119,2,9,8,2
120,1,17,20,7
121,3,0,10,3
122,2,22,10,5
123,3,20,6,1
124,3,14,3,4
125,1,7,7,3
126,3,14,12,5
127,2,14,1,5
128,2,40,5,5
129,1,24,9,7
130,2,15,5,5
131,1,8,17,6
132,2,5,4,3
133,1,25,1,9
134,2,17,2,9
135,1,17,18,8
136,1,26,18,8
137,1,29,10,6
138,1,26,15,9
139,2,20,14,9
140,1,10,17,9
141,3,31,20,6
142,1,18,7,3
143,1,22,13,4
144,2,21,9,6
145,2,3,7,4
146,2,16,1,0
147,1,15,12,7
148,3,7,5,1
149,2,18,12,4
150,1,27,11,9
151,1,18,9,8
152,2,0,0,0
153,1,8,14,6
154,2,7,7,6
155,1,7,4,5
156,2,19,21,8
157,2,30,16,8
158,3,6,16,8
159,1,28,13,9
160,1,17,8,3
161,2,17,13,6
162,1,4,4,3
163,2,12,16,6
164,1,2,1,3
165,2,15,3,6
166,1,28,21,6
167,1,14,10,2
168,2,13,14,7
169,2,0,0,0
170,2,20,6,2
171,1,6,1,2
172,1,35,16,9
173,1,23,3,8
174,3,10,5,6
175,1,29,20,9
176,1,23,12,6
177,2,4,0,2
178,1,11,13,8
179,2,34,16,7
180,3,0,0,0
181,1,26,5,8
182,3,15,15,5
183,1,3,5,2
184,3,34,11,7
185,2,6,19,6
186,1,18,12,5
187,1,3,5,7
188,1,35,15,9
189,2,17,5,5
190,2,29,16,7
191,2,32,20,8
192,1,13,5,3
193,2,37,22,9
194,1,26,13,6
195,1,17,9,4
196,1,28,10,5
197,3,28,8,6
198,3,5,3,0
199,2,25,19,8
200,3,19,23,3
201,2,33,14,5
202,2,7,17,4
203,1,19,13,6
204,1,32,13,9
205,3,0,3,0
206,1,35,18,6
207,2,16,18,2
208,1,39,18,9
209,1,28,20,3
210,2,40,4,3
211,1,18,9,8
212,2,11,11,6
213,1,11,21,9
214,2,38,11,8
215,2,23,12,7
216,1,32,20,9
217,2,14,3,3
218,2,10,6,4
219,3,32,7,4
220,2,22,19,5
221,1,0,0,0
222,2,29,16,6
223,1,0,10,8
224,1,23,9,7
225,1,37,22,9
226,2,25,17,6
227,1,17,10,3
228,2,18,3,2
229,2,19,22,8
230,1,16,4,5
231,2,0,2,2
232,1,24,16,8
233,2,24,14,6
234,2,19,5,7
235,3,33,19,3
236,1,15,10,7
237,1,24,16,7
238,2,33,14,7
239,1,26,3,5
240,2,26,12,8
241,1,26,16,6
242,2,40,20,9
243,3,33,17,7
244,2,30,13,8
245,2,22,20,7
246,1,21,15,6
247,2,17,9,6
248,1,28,23,9
249,1,15,17,9
250,3,11,5,6
251,3,39,15,6
252,2,30,17,9
253,2,22,11,3
