ID,Grupo,UM,ES,LV
1,1,37,19,6
2,1,34,13,4
3,1,37,10,7
4,1,34,23,9
5,1,22,6,8
6,1,24,7,7
7,1,31,13,9
8,1,26,9,9
9,1,33,14,9
10,1,18,7,6
11,1,16,8,9
12,1,15,12,3
13,1,25,18,6
14,1,23,11,4
15,1,26,6,9
16,1,18,0,2
17,1,21,18,6
18,1,0,4,3
19,1,14,7,2
20,1,10,13,7
21,1,13,18,9
22,1,24,15,3
23,1,34,16,6
24,1,37,19,9
25,1,28,6,9
26,1,32,9,8
27,1,12,10,4
28,1,30,13,6
29,1,9,7,1
30,1,32,24,9
31,1,5,3,4
32,1,15,5,3
33,1,29,18,4
34,1,28,21,9
35,1,27,15,7
36,1,42,23,9
37,1,16,0,3
38,1,26,0,9
39,1,20,2,5
40,1,1,1,1
41,1,16,13,3
42,1,19,13,6
43,1,34,23,9
44,1,26,21,7
45,1,19,16,9
46,1,32,18,8
47,1,9,16,9
48,1,8,4,5
49,1,42,22,9
50,1,41,21,8
51,1,24,9,8
52,1,37,19,9
53,1,16,12,8
54,1,35,16,6
55,1,35,15,7
56,1,34,21,9
57,1,34,23,7
58,1,35,10,5
59,1,24,7,6
60,1,29,16,9
61,1,17,3,9
62,1,11,12,6
63,1,21,10,9
64,1,11,3,4
65,1,18,14,2
66,1,5,10,9
67,1,17,20,7
68,1,7,7,3
69,1,24,9,7
70,1,8,17,6
71,1,25,1,9
72,1,17,18,8
73,1,26,18,8
74,1,29,10,6
75,1,26,15,9
76,1,10,17,9
77,1,18,7,3
78,1,22,13,4
79,1,15,12,7
80,1,27,11,9
81,1,18,9,8
82,1,8,14,6
83,1,7,4,5
84,1,28,13,9
85,1,17,8,3
86,1,4,4,3
87,1,2,1,3
88,1,28,21,6
89,1,14,10,2
90,1,6,1,2
91,1,35,16,9
92,1,23,3,8
93,1,29,20,9
94,1,23,12,6
95,1,11,13,8
96,1,26,5,8
97,1,3,5,2
98,1,18,12,5
99,1,3,5,7
100,1,35,15,9
101,1,13,5,3
102,1,26,13,6
103,1,17,9,4
104,1,28,10,5
105,1,19,13,6
106,1,32,13,9
107,1,35,18,6
108,1,39,18,9
109,1,28,20,3
110,1,18,9,8
111,1,11,21,9
112,1,32,20,9
113,1,0,0,0
114,1,0,10,8
115,1,23,9,7
116,1,37,22,9
117,1,17,10,3
118,1,16,4,5
119,1,24,16,8
120,1,15,10,7
121,1,24,16,7
122,1,26,3,5
123,1,26,16,6
124,1,21,15,6
125,1,28,23,9
126,1,15,17,9
127,2,27,0,3
128,2,2,2,6
129,2,30,16,9
130,2,12,14,4
131,2,2,3,3
132,2,13,9,7
133,2,14,13,0
134,2,1,6,3
135,2,15,16,7
136,2,6,2,0
137,2,2,4,0
138,2,21,15,8
139,2,25,2,9
140,2,27,13,4
141,2,11,11,7
142,2,32,19,5
143,2,31,18,5
144,2,16,14,9
145,2,21,12,5
146,2,21,12,9
147,2,6,6,4
148,2,28,22,7
149,2,36,21,9
150,2,3,5,4
151,2,0,6,7
152,2,16,10,2
153,2,7,12,4
154,2,36,11,7
155,2,3,2,0
156,2,14,5,7
157,2,31,7,9
158,2,39,23,9
159,2,33,17,9
160,2,0,0,0
161,2,31,14,7
162,2,3,9,6
163,2,9,8,2
164,2,22,10,5
165,2,14,1,5
166,2,40,5,5
167,2,15,5,5
168,2,5,4,3
169,2,17,2,9
170,2,20,14,9
171,2,21,9,6
172,2,3,7,4
173,2,16,1,0
174,2,18,12,4
175,2,0,0,0
176,2,7,7,6
177,2,19,21,8
178,2,30,16,8
179,2,17,13,6
180,2,12,16,6
181,2,15,3,6
182,2,13,14,7
183,2,0,0,0
184,2,20,6,2
185,2,4,0,2
186,2,34,16,7
187,2,6,19,6
188,2,17,5,5
189,2,29,16,7
190,2,32,20,8
191,2,37,22,9
192,2,25,19,8
193,2,33,14,5
194,2,7,17,4
195,2,16,18,2
196,2,40,4,3
197,2,11,11,6
198,2,38,11,8
199,2,23,12,7
200,2,14,3,3
201,2,10,6,4
202,2,22,19,5
203,2,29,16,6
204,2,25,17,6
205,2,18,3,2
206,2,19,22,8
207,2,0,2,2
208,2,24,14,6
209,2,19,5,7
210,2,33,14,7
211,2,26,12,8
212,2,40,20,9
213,2,30,13,8
214,2,22,20,7
215,2,17,9,6
216,2,30,17,9
217,2,22,11,3
218,3,24,15,3
219,3,7,9,7
220,3,10,0,0
221,3,6,7,6
222,3,24,21,8
223,3,3,4,0
224,3,41,16,9
225,3,13,3,3
226,3,0,0,0
227,3,26,16,3
228,3,0,2,1
229,3,15,5,8
230,3,15,23,9
231,3,18,10,9
232,3,41,12,9
233,3,30,12,6
234,3,0,10,3
235,3,20,6,1
236,3,14,3,4
237,3,14,12,5
238,3,31,20,6
239,3,7,5,1
240,3,6,16,8
241,3,10,5,6
242,3,0,0,0
243,3,15,15,5
244,3,34,11,7
245,3,28,8,6
246,3,5,3,0
247,3,19,23,3
248,3,0,3,0
249,3,32,7,4
250,3,33,19,3
251,3,33,17,7
252,3,11,5,6
253,3,39,15,6
