Gender,Freshwater,Marine,Specie
1,123,372,alaskan
1,125,346,canadian
1,179,407,canadian
1,99,402,alaskan
2,145,355,canadian
2,134,383,canadian
1,87,480,alaskan
1,152,301,canadian
2,123,349,canadian
2,109,325,canadian
1,70,397,alaskan
1,133,375,canadian
1,94,440,alaskan
2,126,345,canadian
1,128,383,canadian
1,108,330,canadian
2,117,344,canadian
2,122,306,canadian
1,118,379,canadian
1,83,453,alaskan
1,76,442,alaskan
1,80,398,alaskan
2,86,506,alaskan
1,135,355,canadian
2,163,370,canadian
1,99,481,alaskan
2,170,386,canadian
2,85,444,alaskan
1,152,301,canadian
2,118,381,alaskan
2,94,491,alaskan
1,95,411,alaskan
2,117,489,alaskan
1,121,403,alaskan
1,156,419,canadian
1,153,352,canadian
1,144,403,canadian
2,124,389,canadian
1,153,397,canadian
2,105,434,alaskan
2,115,354,canadian
1,95,426,alaskan
1,145,337,canadian
2,109,420,alaskan
2,150,354,canadian
1,154,390,canadian
1,119,474,alaskan
2,123,372,alaskan
2,91,469,alaskan
2,150,339,canadian
1,105,388,alaskan
1,109,397,alaskan
1,155,349,canadian
1,129,420,canadian
2,144,345,canadian
1,117,355,canadian
1,53,427,alaskan
2,102,429,alaskan
2,87,402,alaskan
2,111,422,alaskan
2,92,404,alaskan
1,128,400,canadian
2,136,438,canadian
2,152,381,canadian
1,131,355,alaskan
2,120,369,canadian
1,140,362,canadian
2,112,394,alaskan
2,84,399,alaskan
2,108,368,alaskan
1,148,371,canadian
2,124,341,canadian
1,74,451,alaskan
2,100,470,alaskan
1,114,428,alaskan
1,148,383,canadian
2,145,376,canadian
1,123,364,canadian
1,108,339,canadian
2,90,385,canadian
2,106,442,alaskan
2,131,345,canadian
1,105,469,alaskan
2,101,474,alaskan
1,144,373,canadian
2,87,423,alaskan
2,101,469,alaskan
2,149,393,canadian
1,82,431,alaskan
1,85,451,alaskan
1,95,433,alaskan
2,140,388,canadian
2,126,423,alaskan
2,166,377,canadian
1,104,407,alaskan
1,153,403,canadian
1,114,396,alaskan
2,84,511,alaskan
1,99,403,alaskan
2,79,432,alaskan
